sample	pop	spp	region	contgroup	country
Debug019_aegypti_El_Dorado_Argentina_U_10	ElDorado	ADMX	South America	Americas	Argentina
Debug019_aegypti_El_Dorado_Argentina_U_11	ElDorado	ADMX	South America	Americas	Argentina
Debug019_aegypti_El_Dorado_Argentina_U_2	ElDorado	ADMX	South America	Americas	Argentina
Debug019_aegypti_El_Dorado_Argentina_U_4	ElDorado	ADMX	South America	Americas	Argentina
Debug019_aegypti_El_Dorado_Argentina_U_5	ElDorado	ADMX	South America	Americas	Argentina
Debug031_aegypti_El_Dorado_US_U_24	ElDorado	ADMX	South America	Americas	Argentina
Debug031_aegypti_El_Dorado_US_U_25	ElDorado	ADMX	South America	Americas	Argentina
Debug031_aegypti_El_Dorado_US_U_26	ElDorado	ADMX	South America	Americas	Argentina
Debug031_aegypti_El_Dorado_US_U_28	ElDorado	ADMX	South America	Americas	Argentina
Debug031_aegypti_El_Dorado_US_U_29	ElDorado	ADMX	South America	Americas	Argentina
Debug031_aegypti_El_Dorado_US_U_30	ElDorado	ADMX	South America	Americas	Argentina
Debug031_aegypti_El_Dorado_US_U_31	ElDorado	ADMX	South America	Americas	Argentina
Debug010_aegypti_Cuanda_Angola_01	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_02	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_03	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_04	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_05	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_06	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_08	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_10	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_11	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_14	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_18	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_19	Cuanda	AAF	West Africa	Wafrica	Angola
Debug010_aegypti_Cuanda_Angola_20	Cuanda	AAF	West Africa	Wafrica	Angola
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-10	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-11	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-12	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-13	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-14	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-15	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-16	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-17	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-18	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-20	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-23	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-24	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-2	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-3	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-4	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-5	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-6	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-7	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-8	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-9	LaLope	AAF	West Africa	Wafrica	Gabon
La_Lope_Gabon-_19	LaLope	AAF	West Africa	Wafrica	Gabon
Debug010_aegypti_Skukusa_South_Africa_02	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_03	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_04	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_05	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_06	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_07	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_10	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_12	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_13	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_15	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug010_aegypti_Skukusa_South_Africa_16	Skukusa	AAF	East Africa	Safrica	SouthAfrica
Debug018_aegypti_YAOMO_Cameroon__U_63	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_65	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_66	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_67	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_69	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_71	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_72	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_73	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_74	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_75	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_77	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_80	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug018_aegypti_YAOMO_Cameroon__U_81	YAOMO	AAF	West Africa	Wafrica	Cameroon
Debug011_aegypti_Arabuko_Kenya_01	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_02	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_03	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_04	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_05	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_06	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_07	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_08	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_09	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_10	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_11	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_12	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_14	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_15	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_16	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_17	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_18	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Arabuko_Kenya_19	Arabuko	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Ganda_Kenya_01	Ganda	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Ganda_Kenya_02	Ganda	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_Ganda_Kenya_08	Ganda	AAF	East Africa	Eafrica	Kenya
